engine,workload,durability,threads,n,qps_mean,qps_std,p50_mean,p50_std,p95_mean,p95_std,p99_mean,p99_std,max_mean,max_std,failures_total
redline,writers-disjoint,normal,4,5,67.74250203587235,6.481832605666178,51531.8,4957.398027191281,75813.4,6616.900543305755,96037.4,26751.793300636873,98277.4,25431.026341852583,0
redline,writers-disjoint,normal,8,5,104.06061201986411,3.483130484800817,69771.8,936.6766784755551,88306.2,3518.6615637199325,106507.8,20469.617368187417,109925.4,20209.138843602417,0
redline,writers-disjoint,normal,16,5,259.2577703627471,46.78238797536006,59135.0,14495.947019770734,73611.8,19288.04612188596,78949.4,21822.620484258987,85298.2,22463.607973787293,0
redline,writers-disjoint,normal,32,5,428.22416447050256,73.31421311143096,71019.8,11262.809027946803,89509.4,19091.458529929034,102194.2,25188.18364233515,105611.8,24042.9439794714,1
redline,writers-disjoint,normal,64,5,667.3155025370925,10.51333996439192,88523.8,1690.496731733013,110015.0,1526.6381365602,125733.4,1733.6795551658336,131813.4,1967.2063440320649,8
redline,writers-disjoint,normal,128,5,396.5299355879954,3.0519661807056084,297573.4,2076.600298564937,374783.0,2553.591979937285,407807.0,7821.627452135518,434021.4,13752.228503046339,28
redline,writers-disjoint,strict,1,5,25.287478285356507,1.173029162838566,34485.4,2063.367344900078,53042.2,4708.98239538013,66059.8,11068.545125715485,66059.8,11068.545125715485,0
redline,writers-disjoint,strict,2,5,42.48038572901639,1.8012219568138383,40408.6,1759.3307818599665,62879.0,3479.770107349047,76223.0,8334.633285274163,76287.0,8196.498764716553,0
redline,writers-disjoint,strict,4,5,61.595979558826706,4.726922446699736,56651.8,3131.9647507594973,84427.8,4788.123975003154,111218.2,28828.728782240814,123122.2,33982.26436245825,0
redline,writers-disjoint,strict,8,5,107.33025302373714,10.98931876828516,68523.8,5184.276535834097,95883.8,2718.079321874181,109963.8,17963.45588131638,115083.8,15451.951436630909,0
redline,writers-disjoint,strict,16,5,269.4031786571992,48.48392198930972,56965.4,12243.594766244103,71800.6,21622.345774684116,76479.0,22695.603803380072,79557.4,25333.011759362525,1
redline,writers-disjoint,strict,32,5,425.44774030601536,58.36922145132515,71563.8,9813.377970912974,89867.8,13515.399927490122,96485.4,15087.760761623971,100658.2,14608.509958240094,1
redline,writers-disjoint,strict,64,5,656.1078859004604,12.482968848775345,89509.4,2211.753331635335,109170.2,1664.246135642202,124299.8,3494.1303925297366,130648.6,4059.739499031925,8
redline,writers-disjoint,strict,128,5,399.38754484947765,2.848007137587405,297983.0,849.0559463309829,362955.8,10773.920512051316,398744.6,21461.748968804943,419122.2,21628.136933171103,14
sqlite,connection-limit,normal,1,1,1207000.0,0.0,938.0,0.0,12975.0,0.0,24751.0,0.0,48255.0,0.0,0
sqlite,connection-limit,normal,8,17,1715212.331179039,553933.5232365094,578.2941176470588,336.70346090920316,7424.882352941177,1666.8989877296458,15869.588235294117,3868.8016080374223,43606.529411764706,15472.20487728578,0
sqlite,connection-limit,normal,16,6,4277781.494155985,1737162.8819875147,856.1666666666666,220.00310603868,6127.166666666667,5351.367915464855,19338.333333333332,10527.927785973205,148260.33333333334,87704.57446374543,0
sqlite,connection-limit,normal,24,1,9186000.0,0.0,939.0,0.0,984.0,0.0,3789.0,0.0,225279.0,0.0,0
sqlite,connection-limit,normal,32,3,10876000.0,1763728.1536563395,934.3333333333334,0.5773502691896093,1619.3333333333333,513.2643893095774,4359.0,550.7957879287023,420863.0,37692.90309859404,0
sqlite,connection-limit,normal,40,2,45274500.0,750240.2948389269,116.0,1.4142135623730951,872.0,73.53910524340094,1042.0,25.45584412271571,4999.0,0.0,0
sqlite,connection-limit,normal,56,10,139996700.0,953122.1269537745,78.3,0.4830458915396446,515.1,1.3703203194062936,665.7,4.715223571935204,4395.6,2718.1008157249144,0
sqlite,connection-limit,strict,1,2,1224000.0,69296.46455628166,312.0,134.35028842544403,13595.0,933.3809511662428,31191.0,3133.8972542187785,78495.0,16970.56274847714,0
sqlite,connection-limit,strict,8,18,1717460.8309191994,672225.4482572246,592.9444444444445,295.9835989538495,7654.666666666667,2213.0258497732707,15552.777777777777,3641.3122966631227,62539.444444444445,20509.919729737157,0
sqlite,connection-limit,strict,16,5,9274600.0,4018971.112113149,419.0,219.45500677815488,4353.2,2666.5448055489337,14086.2,9248.133390041474,54802.2,29894.180089107645,0
sqlite,connection-limit,strict,32,3,10807000.0,2590511.3394849286,940.6666666666666,5.507570547286087,2372.0,608.8209917537338,5999.0,1718.3620107532638,348116.3333333333,109218.00799013565,0
sqlite,connection-limit,strict,48,2,19121500.0,210010.7140124046,818.5,34.64823227814083,1213.0,258.8010819142764,3614.0,697.2072862499358,362623.0,21903.339654034495,0
sqlite,connection-limit,strict,56,10,140571600.0,1270830.5420734382,78.1,0.3162277660168382,514.1,1.286683937707924,663.6,2.2705848487901865,4107.0,1834.2640062009734,0
sqlite,hot-row-update,normal,1,5,702.3782478780092,387.113739070215,216.4,99.48014877351159,2599.2,2331.3035409401327,5506.8,6318.888881757615,15183.0,2480.0451608791323,0
sqlite,hot-row-update,normal,2,5,547.0384279053673,298.1195293049061,745.0,321.0288149060766,6069.0,1873.226094202192,12189.4,2569.5409706793935,36101.4,18306.903965444293,0
sqlite,hot-row-update,normal,4,5,1836.0801842147962,438.22129190327104,700.2,46.18657813694365,3943.8,1046.896938576095,9786.2,2622.401037217611,53778.2,7978.229578045495,0
sqlite,hot-row-update,normal,8,5,2234.9379203055905,344.9848381188423,816.0,34.132096331752024,7563.8,1027.8108775450862,16235.8,438.7837736288796,88690.2,4161.329018474747,0
sqlite,hot-row-update,normal,16,5,22445.511935835268,10870.097222297702,192.4,388.29344573402216,2647.6,5835.802112820482,8452.2,18726.398791545587,1696562.2,750345.8783382501,0
sqlite,hot-row-update,normal,32,5,23126.294882595714,316.69975063058155,32.2,0.44721359549995865,41.6,1.341640786499874,70.6,6.985699678629191,2013183.0,45241.79872639902,0
sqlite,hot-row-update,normal,64,5,21458.991419384904,558.1855704476516,32.8,0.44721359549995765,50.2,0.8366600265340751,4950.2,3276.4299473664933,2072779.8,54974.59183295498,0
sqlite,hot-row-update,normal,128,5,19273.278706798028,444.4067604251592,33.6,0.547722557505166,527.8,558.9500872170967,109055.0,11096.48160454475,2073803.8,55910.7750903169,0
sqlite,hot-row-update,strict,1,5,87.12056842041781,0.0537492022207301,10922.2,25.67489045740974,11333.4,74.49026782070254,29256.6,266.1969195914935,30994.2,1882.8540038993995,0
sqlite,hot-row-update,strict,2,5,85.56498916347553,0.48310966708268493,10919.0,9.797958971132852,11448.6,148.636469279918,172626.2,317940.4308281663,1906072.6,311633.1647767933,0
sqlite,hot-row-update,strict,4,5,78.9473768794361,0.0758878582486616,10920.6,10.430723848324028,11544.6,90.58035107019612,2148351.0,0.0,2249112.6,3365.2073933117244,0
sqlite,hot-row-update,strict,8,5,68.64084051107218,0.11973685755408908,10931.8,21.614809737770113,28456.6,116.2617735973438,2547301.4,1713.4797343418077,2648063.0,4579.4672179195695,0
sqlite,hot-row-update,strict,16,5,60.22357349657214,2.211980576695711,10330.2,356.00449435365283,2445720.6,2670.265305171018,3245669.4,3663.573774335649,3425483.8,44271.867582020954,0
sqlite,hot-row-update,strict,32,5,62.87908237728952,8.53428173523138,7277.4,2579.4303247034995,3368959.0,286123.2647374205,4613733.4,169442.7624326279,4868504.6,157884.72862439867,0
